Old Img Id,New Img Id
315964,325115
315965,325116
315966,325117
315967,325118
315968,325119
315969,325120
315970,325121
315971,325122
315972,325123
315973,325124
315974,325125
315975,325126
315976,325127
315977,325128
315978,325129
315979,325130
315980,325131
315981,325132
315982,325133
315983,325134
315984,325135
315985,325136
315986,325137
315987,325138
315988,325139
315989,325140
315990,325141
315991,325142
315992,325143
315993,325144
315994,325145
315995,325146
315996,325147
315997,325148
315998,325149
315999,325150
316000,325151
316001,325152
316002,325153
316003,325154
316004,325155
316005,325156
316007,325157
316008,325158
316009,325159
316010,325160
316011,325161
316012,325162
316013,325163
316014,325164
316015,325165
316019,325166
316020,325167
316021,325168
316022,325169
316023,325170
316024,325171
316025,325172
316026,325173
316027,325174
316028,325175
316029,325176
316030,325177
316031,325178
316032,325179
316033,325180
316034,325181
316035,325182
316043,325183
316045,325184
316046,325185
316047,325186
316048,325187
316049,325188
316050,325189
316051,325190
316052,325191
316132,325192
316403,325193
316405,325194
316406,325195
316407,325196
316408,325197
316413,325198
316609,325199
316610,325200
316611,325201
316607,325202
316608,325203
316606,325204
316605,325205
316599,325206
316612,325207
316613,325208
316614,325209
316615,325210
316616,325211
316617,325212
316620,325213
316635,325214
316636,325215
316637,325216
316638,325217
316654,325218
316640,325219
316642,325220
316643,325221
316644,325222
316645,325223
316648,325224
316649,325225
316650,325226
316651,325227
316652,325228
316653,325229
316655,325230
316714,325231
316715,325232
316716,325233
316717,325234
316718,325235
316719,325236
316720,325237
316721,325238
316722,325239
316723,325240
316724,325241
316725,325242
316726,325243
316727,325244
316728,325245
316729,325246
316730,325247
316731,325248
316732,325249
316733,325250
316734,325251
316735,325252
316736,325253
316739,325254
316740,325255
316741,325256
316742,325257
316743,325258
316744,325259
316756,325260
316771,325261
316775,325262
316776,325263
316777,325264
316819,325265
316821,325266
316822,325267
316823,325268
316824,325269
316825,325270
316835,325271
316906,325272
316907,325273
316998,325274
317262,325275
317263,325276
317264,325277
317265,325278
317266,325279
317267,325280
317268,325281
317269,325282
317270,325283
317271,325284
317272,325285
317273,325286
317274,325287
317275,325288
317276,325289
317277,325290
317282,325291
317813,325292
317814,325293
317816,325294
317817,325295
317818,325296
317819,325297
317820,325298
317821,325299
317822,325300
317823,325301
317835,325302
317836,325303
317837,325304
317838,325305
317839,325306
317840,325307
317841,325308
317842,325309
317843,325310
317844,325311
317862,325312
317864,325313
318155,325314
318202,325315
318206,325316
318361,325317
318438,325318
318445,325319
318604,325320
318639,325321
318851,325322
319866,325323
320171,325324
320172,325325
320462,325326
320463,325327
320466,325328
320803,325329
320804,325330
320805,325331
320806,325332
321037,325333
321038,325334
321040,325335
321041,325336
321042,325337
321093,325338
321092,325339
321091,325340
321094,325341
321095,325342
321099,325343
321100,325344
321105,325345
321228,325346
321309,325347
321310,325348
321311,325349
321312,325350
321313,325351
321314,325352
321315,325353
321316,325354
321317,325355
321318,325356
321319,325357
321320,325358
321321,325359
321322,325360
321323,325361
321349,325362
321350,325363
321351,325364
321498,325365
321499,325366
321500,325367
321501,325368
321512,325369
321513,325370
321514,325371
321516,325372
321518,325373
321519,325374
321522,325375
321523,325376
321524,325377
321525,325378
321563,325379
322906,325380
322995,325381
323165,325382
323229,325383
324391,325384
324406,325385
324408,325386
324409,325387
324480,325388
324483,325389
324484,325390
324488,325391
324505,325392
324506,325393
324551,325394
324561,325395
324574,325396
324575,325397
324628,325398
324654,325399
324659,325400
324660,325401
324662,325402
324682,325403
324697,325404
324698,325405
324699,325406
