Our Order id 	 passtype 	 session 	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 107910	 passtype order	 session 4ntehbnq49ps1tpl5tbncidq52	 timestamp 20111231131205	 Result 00	 Order id 20111231131205-167	 message APPROVAL	 authcode 291696	 pasref 13253372163652	 md5 bc5db32f57777a827a88e8f42604ab17
Our Order id 108118	 passtype order	 session lhqdss4istjedqumnan35c3ht3	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108118	 passtype order	 session lhqdss4istjedqumnan35c3ht3	 timestamp 20120102225654	 Result 101	 Order id 20120102225654-525	 message DECLINED	 authcode 	 pasref 13255449734280	 md5 1b839d5f6542de1cba5ebef6b2c3d1a2
Our Order id 108161	 passtype order	 session d39k2qjp2550e2rt76n5rp7q03	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108161	 passtype order	 session d39k2qjp2550e2rt76n5rp7q03	 timestamp 20120103104927	 Result 00	 Order id 20120103104927-82	 message APPROVAL	 authcode 003334	 pasref 13255876914968	 md5 fb8ecfdad3ef8c36f224c9a853a867f4
Our Order id 108392	 passtype order	 session qijfg2muhp6ld6ire3q8qm5u96	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108392	 passtype order	 session qijfg2muhp6ld6ire3q8qm5u96	 timestamp 20120104135855	 Result 00	 Order id 20120104135855-638	 message APPROVAL	 authcode 004031	 pasref 13256854838568	 md5 a9cf445c69f731c3f213ba0f8a16d4d2
Our Order id 108471	 passtype order	 session msdsu0e9g2sfrsebmc8cgpbkn5	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108471	 passtype order	 session msdsu0e9g2sfrsebmc8cgpbkn5	 timestamp 20120104200030	 Result 00	 Order id 20120104200030-818	 message APPROVAL	 authcode 055823	 pasref 13257071443876	 md5 5edff19d8a1e9387af0a9d2f1285e568
Our Order id 108915	 passtype order	 session tao1rfi7edrbop1k8mj0cf2od3	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108915	 passtype order	 session tao1rfi7edrbop1k8mj0cf2od3	 timestamp 20120108173410	 Result 00	 Order id 20120108173410-73	 message APPROVAL	 authcode 660072	 pasref 13260441608264	 md5 f10f718fa5a4428762b885a0b5535070
Our Order id 108984	 passtype order	 session fa097erllqomhn7df7u32hbpo4	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 108984	 passtype order	 session fa097erllqomhn7df7u32hbpo4	 timestamp 20120109100408	 Result 00	 Order id 20120109100408-310	 message APPROVAL	 authcode 009246	 pasref 13261033987428	 md5 343f9a9df70f1d60505e553d1acb3e93
Our Order id 109003	 passtype order	 session gdqmob0ftkocelmh9ltb5qfnq3	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109003	 passtype order	 session gdqmob0ftkocelmh9ltb5qfnq3	 timestamp 20120109110630	 Result 00	 Order id 20120109110630-896	 message APPROVAL	 authcode 016014	 pasref 13261071154520	 md5 4ac58d4cdb5837628d03f51a71b6d60d
Our Order id 109210	 passtype order	 session rlc46mbcj567r3ah5pr1qvbgs7	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109210	 passtype order	 session rlc46mbcj567r3ah5pr1qvbgs7	 timestamp 20120110120928	 Result 00	 Order id 20120110120928-64	 message APPROVAL	 authcode T23149	 pasref 13261972965820	 md5 b83c0c8c97615b53408c18eb249d9d35
Our Order id 109232	 passtype order	 session j1fdmvudnii0k17cp0a0sovo75	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109232	 passtype order	 session j1fdmvudnii0k17cp0a0sovo75	 timestamp 20120110134026	 Result 00	 Order id 20120110134026-673	 message APPROVAL	 authcode 798832	 pasref 13262027454612	 md5 c7f108066e2709774612c6c56ccb753b
Our Order id 109629	 passtype order	 session 67686pmffqrmd04u346bsqi3n4	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109629	 passtype order	 session 67686pmffqrmd04u346bsqi3n4	 timestamp 20120112152549	 Result 00	 Order id 20120112152549-540	 message APPROVAL	 authcode T07957	 pasref 13263818607756	 md5 63d77194333b2a303ac8323023d12d12
Our Order id 109640	 passtype order	 session qbf74c1siupd69fk4j0jpjcsi3	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109640	 passtype order	 session qbf74c1siupd69fk4j0jpjcsi3	 timestamp 20120112163031	 Result 00	 Order id 20120112163031-901	 message APPROVAL	 authcode 030239	 pasref 13263857758456	 md5 671219e6d8969da2001aeb42cf566b1c
Our Order id 109694	 passtype order	 session 3cj22vh9ok3kd7628s46685iu3	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 109694	 passtype order	 session 3cj22vh9ok3kd7628s46685iu3	 timestamp 20120112223757	 Result 00	 Order id 20120112223757-673	 message APPROVAL	 authcode 091220	 pasref 13264077988792	 md5 9446445f282f8cd1bf68eef4859ce5ac
Our Order id 110071	 passtype order	 session ahd2bq4r9c90k52q8sl435qvn2	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 110071	 passtype order	 session ahd2bq4r9c90k52q8sl435qvn2	 timestamp 20120116103909	 Result 00	 Order id 20120116103909-77	 message APPROVAL	 authcode 269379	 pasref 13267103059448	 md5 a880c5f2a8e238d38ef0e9ef41ff677a
Our Order id 110193	 passtype order	 session 3i1lsenbk0b700t2lscmstk6n5	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
Our Order id 110193	 passtype order	 session 3i1lsenbk0b700t2lscmstk6n5	 timestamp 20120116170433	 Result 00	 Order id 20120116170433-927	 message APPROVAL	 authcode 033035	 pasref 132673340910052	 md5 f526b7632a4b22a536bdd8e002bb2fe3
Our Order id 110346	 passtype order	 session h0kngtgnl76fqsnisrllcjd8q1	 timestamp 	 Result 	 Order id 	 message 	 authcode 	 pasref 	 md5 
