Our Order id 103236	 passtype order	 session 9nldgbdb1fnsr54ptft1j52hj0	 timestamp 20111125181735	 Result 00	 Order id 20111125181735-151	 message APPROVAL	 authcode 756393	 pasref 13222449511644	 md5 fe43f4fc6115e20f8e393c9d9bcf195f
Our Order id 103247	 passtype order	 session qm4a5pngaorp04dc7uno2b9bn2	 timestamp 20111125200423	 Result 00	 Order id 20111125200423-757	 message APPROVAL	 authcode 071338	 pasref 13222513585052	 md5 de98d63b60184598c92f295223b5e00c
Our Order id 103257	 passtype order	 session k85i7ag9tj7u0a4ajsf9si36b6	 timestamp 20111125211010	 Result 00	 Order id 20111125211010-287	 message APPROVAL	 authcode 468674	 pasref 1322255358532	 md5 f1a7473366e1054c1d31501f660929ef
Our Order id 103260	 passtype order	 session bsnql2jg028ponu884igffrpp1	 timestamp 20111125220844	 Result 00	 Order id 20111125220844-362	 message APPROVAL	 authcode 011669	 pasref 13222588265500	 md5 44d3a0d7ef3b10560672ced197e628f6
Our Order id 103294	 passtype order	 session 4qclfkc4ueg2mh4v8491qfvba6	 timestamp 20111126110449	 Result 00	 Order id 20111126110449-947	 message APPROVAL	 authcode 030310	 pasref 13223054743152	 md5 31cc4b3f004ba10b1706f8bbc125648e
Our Order id 103297	 passtype order	 session iognrok8o8dtmhs633kue9vf40	 timestamp 20111126111558	 Result 101	 Order id 20111126111558-713	 message DECLINED	 authcode 	 pasref 13223060826664	 md5 9fcace35a590e324c508aacacca5866d
Our Order id 103404	 passtype order	 session gdeuv3278nrk4ubbhnini0oh47	 timestamp 20111127121303	 Result 00	 Order id 20111127121303-663	 message APPROVAL	 authcode 910135	 pasref 13223959237104	 md5 8b2f4ddbbe0622c6ebe661e74ea78845
Our Order id 103403	 passtype order	 session lht5sfnkppuh6e0u9mcbvdpha7	 timestamp 20111127121249	 Result 00	 Order id 20111127121249-144	 message APPROVAL	 authcode 031133	 pasref 13223960784900	 md5 874981ebd042df11adca223170cc36e8
Our Order id 103415	 passtype order	 session 9ed84nbqnjpirbg0kh376puuk6	 timestamp 20111127131044	 Result 00	 Order id 20111127131044-161	 message APPROVAL	 authcode 019747	 pasref 13223993234036	 md5 67b2bcfdf491eb9a8050a6375dd21299
Our Order id 103421	 passtype order	 session fm7663etdc5e0uf099lj0dj7f2	 timestamp 20111127141302	 Result 00	 Order id 20111127141302-556	 message APPROVAL	 authcode 040383	 pasref 13224030954440	 md5 2b49488b9e9add7aa0029ff0c6ff0347
Our Order id 103441	 passtype order	 session rs95votmghbur8363uemauuea5	 timestamp 20111127161838	 Result 00	 Order id 20111127161838-545	 message APPROVAL	 authcode 018481	 pasref 13224106491552	 md5 6873a0846d5711e463ee2a2e26d5845e
Our Order id 103463	 passtype order	 session k7eog5213bmt8l3lihpdo2cmd1	 timestamp 20111127191214	 Result 00	 Order id 20111127191214-465	 message APPROVAL	 authcode 202245	 pasref 13224210336764	 md5 95271ee69b77ae420ef6db59c72ca115
Our Order id 103471	 passtype order	 session 7ogpihksc7tj35896u1vb64695	 timestamp 20111127200609	 Result 00	 Order id 20111127200609-638	 message APPROVAL	 authcode 908322	 pasref 13224242736972	 md5 652fb4be433f477e10e2f9aa2ac32d03
Our Order id 103479	 passtype order	 session ldoakvsam8r05tllq1bqqopab7	 timestamp 20111127204653	 Result 00	 Order id 20111127204653-331	 message APPROVAL	 authcode 032786	 pasref 13224266847108	 md5 eb24ddad7b4bab8791a21e7c633ff744
Our Order id 103481	 passtype order	 session uifgd16862b1220pca09vkjfu1	 timestamp 20111127211020	 Result 00	 Order id 20111127211020-540	 message APPROVAL	 authcode 073411	 pasref 13224281534840	 md5 e92942d2207e6b37a8869d8ca3e1038a
Our Order id 103545	 passtype order	 session pkt6tai8toiv70repu48ivmlo6	 timestamp 20111128093532	 Result 00	 Order id 20111128093532-837	 message APPROVAL	 authcode 728405	 pasref 13224728116296	 md5 d7768c415a58407ff895324273096f87
