"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"531674","Blendtec Xpress EZ600 Commercial Blender","Blendtec Ez600 Blender & 1 Jugs Package - Price Guarantee Blendtec Commercial Blender - Low Volume Smoothie Maker","531674_maindesc.txt",""
"537098","Simply Syrup - Chocolate Mint","A Combination That Has Always Worked..","537098_maindesc.txt",""
"547419","SIMPLY Banana Puree - 1 Litre","Simply Banana Purée delivers deliciously creamy and authentic banana flavor and texture to smoothies, milkshakes, cocktails, hot beverages and more.","547419_maindesc.txt",""
"531607","Twinings Pure Camomile Infusion","Twinings Pure Camomile Herbal Infusion Tea","531607_maindesc.txt",""
"538869","PureShakes - Choco Mint Milkshake Mix 1 KG","Pure shakes Mint Chocolate Flavour Natural Milkshake Powder - Vegetarian Suitable Milkshake Range, That Thickens When Mixed For A Delicious Tasting Shake First Sip To The Last Gulp.","538869_maindesc.txt",""
"549119","PureGusto - Honduras / Peruvian Blend  - Compostable Nespresso Capsules x 60","A Superb Coffee Blend With Notes of Almond, Hazelnut and Chocolate","549119_maindesc.txt",""
"547448","Simply Blueberry Syrup - 1 Litre","Premium natural blueberry syrup, delicious in a smoothie, in a coffee, on an icecream, or wherever your imagination takes you.","547448_maindesc.txt",""
"547449","Simply Bubblegum Syrup - 1 Litre","Great for kids or to bring back those childhood memories.","547449_maindesc.txt",""
"551264","Ultimate Eco Friendly Bamboo Coffee Cups - Biodegradable & Compostable Cups","The Ultimate Eco Friendly Paper Cup -  Made from the most sustainable resource on the planet... Bamboo Not Paper Bio Bamboo Disposable Coffee Cup","551264_maindesc.txt",""
"538863","Twinings Wooden Tea Chest - 12 Slot","Twinings Deluxe Compartment Wooden Tea Box, Holds Up To 120 Individually Wrapped Teas. Made From Fine Dark Wood And Finished With The Queen's Golden Royal Warrant And Solid Brass Hinges And Openings. This Compartment Box Is Sold With Or Without Teas. A Wi","538863_maindesc.txt",""
"531675","Venezia Italian ShortBread Biscuits x 500","500 Individually Wrapped Venezia Butter Shortbread Style Italian Biscuits To Serve With Any Beverage, Ideal Saucer Biscuit With Low Cost & Long Shelf Life","531675_maindesc.txt",""
"531676","Chocolate Dusting Sprinkler","Chocolate Dusting Sprinkler To Apply The Finishing Touches To Your Beverage","531676_maindesc.txt",""
"531677","Chocolate Flakes Sprinkler","Chocolate Flake Sprinkler To Apply The Finishing Touches To Your Beverage","531677_maindesc.txt",""
"531678","Smaller Packs Of Coffee","Is A Case Of PureGusto Convection Roasted Coffee A Little Too Much, Or Do You Want To Try Before You Commit To A Whole Case. Here You Can Buy A Single Bag Of Our Coffee.","531678_maindesc.txt",""
"531679","Simply Thick Gourmet Sauces 1.9 Ltr","Simply Thick 1.9l Sauces Available In Chocolate, Caramel And White Chocolate, Strawberry & Rhubarb","531679_maindesc.txt",""
"540185","Lavazza Grande Ristorazione Coffee Beans 6KG","Lavazza Grande Ristorazione Coffee Beans Is A Blend Of Full-Bodied And Aromatic Origins From Africa, Asia And South America.","540185_maindesc.txt",""
"547446","Simply Banoffee Syrup - 1 Litre","This luxury natural banoffee syrup has an amazing rich flavour which makes it an essential value adding ingredient for your beverage or dessert.","547446_maindesc.txt",""
"547447","Simply Blackberry Syrup - 1 Litre","Give a Fruity twist to your beverage or dessert with this sweet and scrumptious supplement.","547447_maindesc.txt",""
"531605","Blendtec Jug Rapid Rinser","Blendtec Jug Rinser Is A Small Device To Help Get Your Jugs Sanitized And All Ready To Use Again In A Matter Of Seconds.","531605_maindesc.txt",""
"547444","Simply Apricot Syrup - 1 Litre","Give a fruity twist to your beverage or dessert with this sweet, scrumptious supplement.","547444_maindesc.txt",""
"547445","Simply Banana Syrup - 1 Litre","A superb banana syrup perfect for adding a sweet note to your cocktails, coffee, milkshakes, smoothies, muffins, ice cream or pancakes.","547445_maindesc.txt",""
"548723","Birchall Loose Leaf Tea - Darjeeling 125g","Our Darjeeling is an exquisitely delicate orthodox tea that showcases the distinctive muscatel character of one of the world’s most famous teas.","548723_maindesc.txt",""
