Old Img Id,New Img Id
331433,347377
331434,347378
331431,347379
330760,347380
330761,347381
331435,347382
331440,347383
331279,347384
331113,347385
331398,347386
321634,347387
341541,347388
341399,347389
341396,347390
344530,347391
341653,347392
341651,347393
341650,347394
341652,347395
341402,347396
341403,347397
341344,347398
336226,347399
341542,347400
315949,347401
315948,347402
315950,347403
344513,347404
341406,347405
341407,347406
341503,347407
341504,347408
341502,347409
341499,347410
341500,347411
341501,347412
341494,347413
341495,347414
341496,347415
341497,347416
344534,347417
344527,347418
344531,347419
316778,347420
316779,347421
315615,347422
315616,347423
315617,347424
315618,347425
315619,347426
315620,347427
315621,347428
315622,347429
315623,347430
315624,347431
315629,347432
315630,347433
315631,347434
315632,347435
315633,347436
316624,347437
315635,347438
315636,347439
315637,347440
316622,347441
315639,347442
316661,347443
316780,347444
315643,347445
315644,347446
315645,347447
315646,347448
315647,347449
315648,347450
315649,347451
315650,347452
315651,347453
315652,347454
315653,347455
315654,347456
315655,347457
315656,347458
315657,347459
315658,347460
315660,347461
315661,347462
315662,347463
315663,347464
315664,347465
315665,347466
315666,347467
315667,347468
315668,347469
315669,347470
315670,347471
315671,347472
315672,347473
315673,347474
315674,347475
315675,347476
315676,347477
315677,347478
315678,347479
315679,347480
315680,347481
318439,347482
315686,347483
315687,347484
315688,347485
315689,347486
315690,347487
315691,347488
315692,347489
315693,347490
315698,347491
315699,347492
315700,347493
315701,347494
315702,347495
315703,347496
315704,347497
315705,347498
315706,347499
315707,347500
315717,347501
315718,347502
315719,347503
315720,347504
315721,347505
315722,347506
315723,347507
315724,347508
315725,347509
315726,347510
315727,347511
315728,347512
315758,347513
315759,347514
315760,347515
315761,347516
315762,347517
315763,347518
315764,347519
315765,347520
315766,347521
315767,347522
315768,347523
315769,347524
315770,347525
331429,347526
315772,347527
315773,347528
315774,347529
315775,347530
315776,347531
315777,347532
315782,347533
315783,347534
315784,347535
315785,347536
315786,347537
315787,347538
315788,347539
315789,347540
315790,347541
315791,347542
315792,347543
315793,347544
315794,347545
315795,347546
315796,347547
315804,347548
315805,347549
315806,347550
315807,347551
315808,347552
315809,347553
315810,347554
315811,347555
315812,347556
315813,347557
315814,347558
315815,347559
315817,347560
315818,347561
315819,347562
315820,347563
315821,347564
315822,347565
315823,347566
315824,347567
315825,347568
315826,347569
315827,347570
315828,347571
315829,347572
315830,347573
315831,347574
315832,347575
315833,347576
315834,347577
315835,347578
315836,347579
315837,347580
315838,347581
315839,347582
331527,347583
315842,347584
315843,347585
315844,347586
315845,347587
331528,347588
315847,347589
315849,347590
315850,347591
315851,347592
315852,347593
315854,347594
315855,347595
315856,347596
315857,347597
315858,347598
315859,347599
315860,347600
315861,347601
315862,347602
330385,347603
315864,347604
315865,347605
315870,347606
315872,347607
315874,347608
315875,347609
315876,347610
315877,347611
330785,347612
315890,347613
315891,347614
315892,347615
315893,347616
315900,347617
315901,347618
315902,347619
315903,347620
315904,347621
315905,347622
315906,347623
315907,347624
315910,347625
315911,347626
315912,347627
315921,347628
315922,347629
315923,347630
315924,347631
315925,347632
315926,347633
315927,347634
315928,347635
316781,347636
315930,347637
315931,347638
315932,347639
315933,347640
315934,347641
315935,347642
315936,347643
315937,347644
315938,347645
315939,347646
315940,347647
