"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 1","Website Image Link 2","Website Image Link 3","Website Image Link 4","Website Image Link 5",,,
"BAT/C/CTE24V5A","Mobility Scooter 5amp Charger","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-chargers/mobility-scooter-charger-2amp-cte24v2a.jpg",,,,,,,
"BAT/C/24V8A","Mobility Scooter 8amp Charger","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-chargers/flexel-scooter-charger-24v8a.jpg",,,,,,,
"BAT/C/24VINC","Mobility Scooter In Car Chargaer","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-chargers/flexel-scooter-charger-24v8a.jpg",,,,,,,
"TRP607-2","2 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-3","3 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-4","4 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-5","5 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-6","6 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-7","7 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP607-8","8 ft Folding Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-folding-ramps-01.jpg",,,,,,,
"TRP-WE6","2 inch Threshold Wedge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-wedge-ramp.jpg",,,,,,,
"TRP-WE8","3 inch Threshold Wedge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-wedge-ramp.jpg",,,,,,,
"TRP-WE10","4 inch Threshold Wedge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-wedge-ramp.jpg",,,,,,,
"TRP-BR4","1 inch Threshold Bridge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-bridge-ramp.jpg",,,,,,,
"TRP-BR6","2 inch Threshold Bridge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-bridge-ramp.jpg",,,,,,,
"TRP-BR8","3 inch Threshold Bridge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-bridge-ramp.jpg",,,,,,,
"TRP-BR10","4 inch Threshold Bridge Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-threshold-bridge-ramp.jpg",,,,,,,
"ZT-664-WCR5","5 ft Telescopic Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/ztec-telescopic-ramps-01.jpg",,,,,,,
"ZT-664-WCR7","7 ft Telescopic Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/ztec-telescopic-ramps-01.jpg",,,,,,,
"R008","6 ft Smart Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-02.jpg",,,,,,
"R004","3 ft Roll-Up Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-02.jpg",,,,,,
"R005","5 ft Roll-Up Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/drive-medical-smart-ramps-02.jpg",,,,,,
"TRP-CV5","550mm Fixed Channel Ramp","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-ramps/mobility-scooter-fixed-channel-ramps-03.jpg",,,,,
