Old Id,New Id
241282,312240
241281,312241
241274,312242
241273,312243
241272,312244
241268,312245
241267,312246
241265,312247
241181,312248
241180,312249
241179,312250
241178,312251
241177,312252
241176,312253
241075,312254
241074,312255
241073,312256
241072,312257
241071,312258
241070,312259
241033,312260
241027,312261
241026,312262
241010,312263
241009,312264
241008,312265
241007,312266
241006,312267
240980,312268
240976,312269
240975,312270
240974,312271
240973,312272
240972,312273
240965,312274
240963,312275
240962,312276
240961,312277
240960,312278
240959,312279
240958,312280
240957,312281
240943,312282
240824,312283
240823,312284
240822,312285
240821,312286
240820,312287
240819,312288
240818,312289
240615,312290
240614,312291
240613,312292
240602,312293
240601,312294
240600,312295
240599,312296
240504,312297
240464,312298
240057,312299
236205,312300
236204,312301
236030,312302
236026,312303
236025,312304
231830,312305
241447,312306
241446,312307
212728,312308
212729,312309
212730,312310
212731,312311
212732,312312
212733,312313
212785,312314
212786,312315
215901,312316
215902,312317
216618,312318
216619,312319
216620,312320
216621,312321
216622,312322
237638,312323
237631,312324
242474,312325
229204,312326
242454,312327
242452,312328
242451,312329
225850,312330
225851,312331
225874,312332
225875,312333
235948,312334
227310,312335
227311,312336
227312,312337
227313,312338
227314,312339
227315,312340
227348,312341
227349,312342
227359,312343
227547,312344
227548,312345
227549,312346
227563,312347
227564,312348
227565,312349
227566,312350
227569,312351
227570,312352
227571,312353
227572,312354
227578,312355
227579,312356
227828,312357
227829,312358
227831,312359
228558,312360
228560,312361
228561,312362
228571,312363
228572,312364
242450,312365
240241,312366
229805,312367
229806,312368
240240,312369
230837,312370
230839,312371
235545,312372
231860,312373
231869,312374
231870,312375
231871,312376
231872,312377
231876,312378
231878,312379
232512,312380
232525,312381
232571,312382
232573,312383
232575,312384
232594,312385
232596,312386
232597,312387
232976,312388
232977,312389
233287,312390
233463,312391
233691,312392
233692,312393
233695,312394
233698,312395
233705,312396
233712,312397
235104,312398
235105,312399
235106,312400
235173,312401
235695,312402
235696,312403
235697,312404
235698,312405
235711,312406
235715,312407
235716,312408
235738,312409
235739,312410
235747,312411
235759,312412
235760,312413
180150,312414
77058,312415
117624,312416
195052,312417
117637,312418
107768,312419
118704,312420
24814,312421
24105,312422
54758,312423
108414,312424
118236,312425
108418,312426
119219,312427
169848,312428
167477,312429
180012,312430
179991,312431
180011,312432
180014,312433
227830,312434
195071,312435
