Old comb Id,New comb Id,Image id
158455,198964,0
158456,198965,0
158457,198966,0
158458,198967,0
158459,198968,0
158460,198969,0
158461,198970,0
158462,198971,0
158463,198972,0
158464,198973,0
158465,198974,0
158466,198975,0
158467,198976,0
158468,198977,0
158469,198978,0
158470,198979,0
158471,198980,0
158472,198981,0
158473,198982,0
158474,198983,0
158475,198984,0
158476,198985,0
158477,198986,0
158478,198987,0
158479,198988,0
158480,198989,0
158481,198990,0
158482,198991,0
158483,198992,0
158484,198993,0
158485,198994,0
158486,198995,0
158487,198996,0
158488,198997,0
158489,198998,0
158490,198999,0
158491,199000,0
158492,199001,0
158493,199002,0
158494,199003,0
158495,199004,0
158496,199005,0
158497,199006,0
158498,199007,0
158499,199008,0
158500,199009,0
158501,199010,0
158502,199011,0
158503,199012,0
158504,199013,0
158505,199014,0
158506,199015,0
158507,199016,0
158508,199017,0
158509,199018,0
158510,199019,0
158511,199020,0
158512,199021,0
158513,199022,0
158514,199023,0
158515,199024,0
158516,199025,0
158517,199026,0
158518,199027,0
158519,199028,0
158520,199029,0
158521,199030,0
158522,199031,0
158523,199032,0
158524,199033,0
158525,199034,0
158526,199035,0
158527,199036,0
158528,199037,0
158529,199038,0
158530,199039,0
158531,199040,0
158532,199041,0
158533,199042,0
158534,199043,0
158535,199044,0
158536,199045,0
158537,199046,0
158538,199047,0
158539,199048,0
158540,199049,0
158541,199050,0
158542,199051,0
158543,199052,0
158544,199053,0
158545,199054,0
158546,199055,0
158547,199056,0
158548,199057,0
158549,199058,0
158550,199059,0
158551,199060,0
158552,199061,0
158553,199062,0
158554,199063,0
158555,199064,0
158556,199065,0
158557,199066,0
158558,199067,0
158559,199068,0
158560,199069,0
158561,199070,0
158562,199071,0
158563,199072,0
158564,199073,0
158565,199074,0
158566,199075,0
158567,199076,0
158568,199077,0
158569,199078,0
158570,199079,0
30624,199080,0
30625,199081,0
30626,199082,0
30627,199083,0
30628,199084,0
30629,199085,0
30630,199086,0
30631,199087,0
30632,199088,0
30633,199089,0
30634,199090,0
30635,199091,0
30636,199092,0
30637,199093,0
30638,199094,0
30639,199095,0
30640,199096,0
30641,199097,0
30642,199098,0
30643,199099,0
30644,199100,0
30645,199101,0
30646,199102,0
30647,199103,0
121766,199104,0
121767,199105,0
121768,199106,0
121769,199107,0
121771,199108,0
121772,199109,0
121773,199110,0
121774,199111,0
121776,199112,0
121777,199113,0
121778,199114,0
121779,199115,0
121781,199116,0
121782,199117,0
121783,199118,0
121784,199119,0
121786,199120,0
121787,199121,0
121788,199122,0
121789,199123,0
121791,199124,0
121792,199125,0
121793,199126,0
121794,199127,0
159212,199128,0
159213,199129,0
159214,199130,0
159215,199131,0
159216,199132,0
159217,199133,0
159218,199134,0
159219,199135,0
159220,199136,0
159221,199137,0
159222,199138,0
159223,199139,0
159224,199140,0
159225,199141,0
159226,199142,0
159227,199143,0
159228,199144,0
159229,199145,0
159230,199146,0
159231,199147,0
159232,199148,0
159233,199149,0
159234,199150,0
159235,199151,0
159236,199152,0
159237,199153,0
159238,199154,0
159239,199155,0
159240,199156,0
159241,199157,0
160436,199158,0
160437,199159,0
160438,199160,0
160439,199161,0
160440,199162,0
160441,199163,0
160442,199164,0
160443,199165,0
160444,199166,0
160445,199167,0
160446,199168,0
160447,199169,0
160448,199170,0
160449,199171,0
160450,199172,0
160451,199173,0
160452,199174,0
160453,199175,0
160454,199176,0
160455,199177,0
160456,199178,0
160457,199179,0
160458,199180,0
160459,199181,0
160460,199182,0
160461,199183,0
160462,199184,0
160463,199185,0
160464,199186,0
160465,199187,0
160466,199188,0
160467,199189,0
160468,199190,0
160469,199191,0
160470,199192,0
160471,199193,0
160472,199194,0
160473,199195,0
160474,199196,0
160475,199197,0
160476,199198,0
160477,199199,0
160478,199200,0
160479,199201,0
160480,199202,0
160481,199203,0
160482,199204,0
160483,199205,0
160484,199206,0
160485,199207,0
160486,199208,0
160487,199209,0
160488,199210,0
160489,199211,0
160490,199212,0
160491,199213,0
160492,199214,0
160493,199215,0
160494,199216,0
160495,199217,0
121795,199218,0
121796,199219,0
121797,199220,0
121798,199221,0
121799,199222,0
121800,199223,0
121803,199224,0
121804,199225,0
121805,199226,0
121806,199227,0
121807,199228,0
121808,199229,0
121809,199230,0
121810,199231,0
121813,199232,0
121814,199233,0
121815,199234,0
121816,199235,0
121817,199236,0
121818,199237,0
121819,199238,0
121820,199239,0
121823,199240,0
121824,199241,0
158838,199242,0
158839,199243,0
158840,199244,0
158841,199245,0
158842,199246,0
158843,199247,0
158844,199248,0
158845,199249,0
158846,199250,0
158847,199251,0
57563,199252,0
57564,199253,0
57565,199254,0
57566,199255,0
57567,199256,0
57568,199257,0
57569,199258,0
57570,199259,0
57571,199260,0
57572,199261,0
57573,199262,0
57574,199263,0
57575,199264,0
57576,199265,0
57577,199266,0
57578,199267,0
57579,199268,0
57580,199269,0
57581,199270,0
57582,199271,0
57583,199272,0
57584,199273,0
57585,199274,0
57586,199275,0
57587,199276,0
57588,199277,0
57589,199278,0
57590,199279,0
57591,199280,0
57592,199281,0
57593,199282,0
57594,199283,0
57595,199284,0
57596,199285,0
57597,199286,0
57598,199287,0
57599,199288,0
57600,199289,0
57601,199290,0
57602,199291,0
57603,199292,0
57604,199293,0
57605,199294,0
57606,199295,0
57607,199296,0
57608,199297,0
57609,199298,0
57610,199299,0
57611,199300,0
57612,199301,0
57613,199302,0
57614,199303,0
57615,199304,0
57616,199305,0
57617,199306,0
57618,199307,0
57619,199308,0
57620,199309,0
57621,199310,0
57622,199311,0
57623,199312,0
57624,199313,0
57625,199314,0
57626,199315,0
57627,199316,0
57628,199317,0
57629,199318,0
57630,199319,0
57631,199320,0
57632,199321,0
57633,199322,0
57634,199323,0
161522,199324,0
161523,199325,0
161524,199326,0
161525,199327,0
161526,199328,0
161527,199329,0
161528,199330,0
161529,199331,0
161530,199332,0
161531,199333,0
161532,199334,0
161533,199335,0
161534,199336,0
161535,199337,0
161536,199338,0
161537,199339,0
161538,199340,0
161539,199341,0
161540,199342,0
161541,199343,0
161542,199344,0
161543,199345,0
161544,199346,0
161545,199347,0
161546,199348,0
161547,199349,0
161548,199350,0
161549,199351,0
161550,199352,0
161551,199353,0
161552,199354,0
161553,199355,0
161554,199356,0
161555,199357,0
161556,199358,0
161557,199359,0
33451,199360,0
33452,199361,0
159067,199362,0
159068,199363,0
159069,199364,0
159070,199365,0
159071,199366,0
161603,199367,0
161604,199368,0
161605,199369,0
161606,199370,0
161607,199371,0
161608,199372,0
161609,199373,0
161610,199374,0
161611,199375,0
161612,199376,0
161613,199377,0
161614,199378,0
123731,199379,0
33657,199380,0
33658,199381,0
123726,199382,0
123727,199383,0
123728,199384,0
123729,199385,0
123730,199386,0
56645,199387,0
56646,199388,0
173122,199389,0
173123,199390,0
173124,199391,0
173125,199392,0
173126,199393,0
173127,199394,0
173128,199395,0
173129,199396,0
173130,199397,0
173131,199398,0
173132,199399,0
173133,199400,0
173134,199401,0
173135,199402,0
173136,199403,0
173137,199404,0
173138,199405,0
173139,199406,0
173140,199407,0
173141,199408,0
173142,199409,0
173143,199410,0
173144,199411,0
173145,199412,0
173146,199413,0
173147,199414,0
173148,199415,0
173149,199416,0
173150,199417,0
173151,199418,0
173152,199419,0
173153,199420,0
173154,199421,0
173155,199422,0
173156,199423,0
173157,199424,0
173158,199425,0
173159,199426,0
173160,199427,0
173161,199428,0
173162,199429,0
173163,199430,0
173164,199431,0
173165,199432,0
173166,199433,0
173167,199434,0
173168,199435,0
173169,199436,0
173170,199437,0
173171,199438,0
173172,199439,0
173173,199440,0
173174,199441,0
173175,199442,0
173176,199443,0
