"Product Id","Product Name","Var Id","Var Name","Var Value Id","Var Value","Old Price","New Price","Status"
"536748","Osprey Mobility Scooter","166937","Scooter Starter Pack","718866","Yes","66.99","79.99","-- Updated --"
"534781","Kymco Micro","165350","Scooter Starter Pack","714015","Yes","66.99","79.99","-- Updated --"
"534783","Sterling Little Gem 2 Mobility Scooter","165426","Scooter Starter Pack","714205","Yes","66.99","79.99","-- Updated --"
"534784","Sterling Pearl Mobility Scooter","165434","Scooter Starter Pack","714225","Yes","66.99","79.99","-- Updated --"
"534780","Van Os Boost Mobility Scooter","165442","Scooter Starter Pack","714245","Yes","66.99","79.99","-- Updated --"
"538911","Travelux Zoom 3 Mobility Scooter","168575","Scooter Starter Pack","724725","Yes","66.99","79.99","-- Updated --"
"534770","Van Os Medical Excel Travelux Zoom 3","165446","Scooter Starter Pack","714255","Yes","59.99","79.99","-- Updated --"
"534762","Kymco Midi XLS","165623","Scooter Starter Pack","714696","Yes","66.99","79.99","-- Updated --"
"534763","Kymco Maxi XLS Mobility Scooter","165619","Scooter Starter Pack","714686","Yes","66.99","79.99","-- Updated --"
"534766","Sterling Emerald","165696","Scooter Starter Pack","714877","Yes","66.99","79.99","-- Updated --"
"534758","Van Os Galaxy II Mobility Scooter","165704","Scooter Starter Pack","714897","Yes","66.99","79.99","-- Updated --"
"534759","Van Os Galaxy Plus 4","165700","Scooter Starter Pack","714887","Yes","66.99","79.99","-- Updated --"
"534771","2GO Ability Zoom 4","165450","Scooter Starter Pack","714265","Yes","66.99","79.99","-- Updated --"
"534772","Kymco Mini LS Mobility Scooter","165354","Scooter Starter Pack","714025","Yes","59.99","79.99","-- Updated --"
"534773","Kymco Super 4","165478","Scooter Starter Pack","714335","Yes","66.99","79.99","-- Updated --"
"534775","Days Strider ST4D","165458","Scooter Starter Pack","714285","Yes","66.99","79.99","-- Updated --"
"534776","Days Strider Midi 4 Deluxe","165454","Scooter Starter Pack","714275","Yes","66.99","79.99","-- Updated --"
"547106","Roma Murcia","173583","Scooter Starter Pack","747300","Yes","66.99","79.99","-- Updated --"
"532515","Freerider Kensington","165607","Scooter Starter Pack","714656","Yes","66.99","79.99","-- Updated --"
"534848","Days Strider ST6","165574","Scooter Starter Pack","714575","Yes","66.99","79.99","-- Updated --"
"532532","Roma Valencia Mobility Scooter","165410","Scooter Starter Pack","714165","Yes","66.99","79.99","-- Updated --"
"532549","Roma Sovereign 4","165542","Scooter Starter Pack","714495","Yes","66.99","79.99","-- Updated --"
"532551","Pride Colt ES10","165318","Scooter Starter Pack","713935","Yes","59.99","79.99","-- Updated --"
"532552","Sterling Sapphire 2 Mobility Scooter","165438","Scooter Starter Pack","714235","Yes","66.99","79.99","-- Updated --"
"532555","Shoprider Sovereign 3","165554","Scooter Starter Pack","714525","Yes","66.99","79.99","-- Updated --"
"532556","Rascal 388 Deluxe","165518","Scooter Starter Pack","714435","Yes","66.99","79.99","-- Updated --"
"532558","Shoprider Deluxe","165546","Scooter Starter Pack","714505","Yes","66.99","79.99","-- Updated --"
"532559","Roma Sorrento Mobility Scooter","165538","Scooter Starter Pack","714485","Yes","66.99","79.99","-- Updated --"
"532560","Drive Mercury Envoy 4","165462","Scooter Starter Pack","714295","Yes","66.99","79.99","-- Updated --"
"532561","Pride Maxima 4 Mobility Scooter","165510","Scooter Starter Pack","714415","Yes","66.99","79.99","-- Updated --"
"532579","Pride Maxima 3","165506","Scooter Starter Pack","714405","Yes","66.99","79.99","-- Updated --"
"532630","Pride Colt Pursuit 50amp","165640","Scooter Starter Pack","714737","Yes","66.99","79.99","-- Updated --"
